pokedex_number,name,japanese_name,classfication,type1,type2,height_m,weight_kg,percentage_male,hp,speed,attack,sp_attack,defense,sp_defense,generation,is_legendary,base_egg_steps,experience_growth,capture_rate,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_happiness,base_total,abilities
196,Espeon,Eifieエーフィ,Sun Pokémon,psychic,,0.9,26.5,88.1,65,110,65,130,60,95,2,0,8960,1000000,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,525,"['Synchronize', 'Magic Bounce']"
197,Umbreon,Blackyブラッキー,Moonlight Pokémon,dark,,1,27,88.1,95,65,65,60,110,130,2,0,8960,1000000,45,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,35,525,"['Synchronize', 'Inner Focus']"
198,Murkrow,Yamikarasuヤミカラス,Darkness Pokémon,dark,flying,0.5,2.1,50,60,91,85,85,42,42,2,0,5120,1059860,30,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,35,405,"['Insomnia', 'Super Luck', 'Prankster']"
199,Slowking,Yadokingヤドキング,Royal Pokémon,water,psychic,2,79.5,50,95,30,75,100,80,110,2,0,5120,1000000,70,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,70,490,"['Oblivious', 'Own Tempo', 'Regenerator']"
200,Misdreavus,Mumaムウマ,Screech Pokémon,ghost,,0.7,1,50,60,85,60,85,60,85,2,0,6400,800000,45,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,35,435,['Levitate']
201,Unown,Unknownアンノーン,Symbol Pokémon,psychic,,0.5,5,,48,48,72,72,48,48,2,0,10240,1000000,225,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,336,['Levitate']
202,Wobbuffet,Sonansソーナンス,Patient Pokémon,psychic,,1.3,28.5,50,190,33,33,33,58,58,2,0,5120,1000000,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,405,"['Shadow Tag', 'Telepathy']"
203,Girafarig,Kirinrikiキリンリキ,Long Neck Pokémon,normal,psychic,1.5,41.5,50,70,85,80,90,65,65,2,0,5120,1000000,60,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,70,455,"['Inner Focus', 'Early Bird', 'Sap Sipper']"
204,Pineco,Kunugidamaクヌギダマ,Bagworm Pokémon,bug,,0.6,7.2,50,50,15,65,35,90,35,2,0,5120,1000000,190,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,290,"['Sturdy', 'Overcoat']"
205,Forretress,Foretosフォレトス,Bagworm Pokémon,bug,steel,1.2,125.8,50,75,40,90,60,140,60,2,0,5120,1000000,75,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,70,465,"['Sturdy', 'Overcoat']"
206,Dunsparce,Nokocchiノコッチ,Land Snake Pokémon,normal,,1.5,14,50,100,45,70,65,70,65,2,0,5120,1000000,190,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,415,"['Serene Grace', 'Run Away', 'Rattled']"
207,Gligar,Gligerグライガー,Flyscorpion Pokémon,ground,flying,1.1,64.8,50,65,85,75,35,105,65,2,0,5120,1059860,60,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,70,430,"['Hyper Cutter', 'Sand Veil', 'Immunity']"
208,Steelix,Haganeilハガネール,Iron Snake Pokémon,steel,ground,9.2,400,50,75,30,125,55,230,95,2,0,6400,1000000,25,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,70,610,"['Rock Head', 'Sturdy', 'Sheer Force']"
209,Snubbull,Buluブルー,Fairy Pokémon,fairy,,0.6,7.8,24.6,60,30,80,40,50,40,2,0,5120,800000,190,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,300,"['Intimidate', 'Run Away', 'Rattled']"
210,Granbull,Granbuluグランブル,Fairy Pokémon,fairy,,1.4,48.7,24.6,90,45,120,60,75,60,2,0,5120,800000,75,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,450,"['Intimidate', 'Quick Feet', 'Rattled']"
211,Qwilfish,Harysenハリーセン,Balloon Pokémon,water,poison,0.5,3.9,50,65,85,95,55,85,55,2,0,5120,1000000,45,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,440,"['Poison Point', 'Swift Swim', 'Intimidate']"
212,Scizor,Hassamハッサム,Pincer Pokémon,bug,steel,1.8,118,50,70,75,150,65,140,100,2,0,6400,1000000,25,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,70,600,"['Swarm', 'Technician', 'Light Metal']"
213,Shuckle,Tsubotsuboツボツボ,Mold Pokémon,bug,rock,0.6,20.5,50,20,5,10,10,230,230,2,0,5120,1059860,190,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,70,505,"['Sturdy', 'Gluttony', 'Contrary']"
214,Heracross,Heracrosヘラクロス,Singlehorn Pokémon,bug,fighting,1.5,54,50,80,75,185,40,115,105,2,0,6400,1250000,45,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,70,600,"['Swarm', 'Guts', 'Moxie']"
215,Sneasel,Nyulaニューラ,Sharp Claw Pokémon,dark,ice,0.9,28,50,55,115,95,35,55,75,2,0,5120,1059860,60,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,35,430,"['Inner Focus', 'Keen Eye', 'Pickpocket']"
216,Teddiursa,Himegumaヒメグマ,Little Bear Pokémon,normal,,0.6,8.8,50,60,40,80,50,50,50,2,0,5120,1000000,120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,330,"['Pickup', 'Quick Feet', 'Honey Gather']"
217,Ursaring,Ringumaリングマ,Hibernator Pokémon,normal,,1.8,125.8,50,90,55,130,75,75,75,2,0,5120,1000000,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,500,"['Guts', 'Quick Feet', 'Unnerve']"
218,Slugma,Magmagマグマッグ,Lava Pokémon,fire,,0.7,35,50,40,20,40,70,40,40,2,0,5120,1000000,190,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,250,"['Magma Armor', 'Flame Body', 'Weak Armor']"
219,Magcargo,Magcargotマグカルゴ,Lava Pokémon,fire,rock,0.8,55,50,60,30,50,90,120,80,2,0,5120,1000000,75,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,70,430,"['Magma Armor', 'Flame Body', 'Weak Armor']"
220,Swinub,Urimooウリムー,Pig Pokémon,ice,ground,0.4,6.5,50,50,50,50,30,40,30,2,0,5120,1250000,225,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,70,250,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
221,Piloswine,Inomooイノムー,Swine Pokémon,ice,ground,1.1,55.8,50,100,50,100,60,80,60,2,0,5120,1250000,75,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,70,450,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
222,Corsola,Sunnygoサニーゴ,Coral Pokémon,water,rock,0.6,5,24.6,65,35,55,65,95,95,2,0,5120,800000,60,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,70,410,"['Hustle', 'Natural Cure', 'Regenerator']"
223,Remoraid,Teppouoテッポウオ,Jet Pokémon,water,,0.6,12,50,35,65,65,65,35,35,2,0,5120,1000000,190,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,300,"['Hustle', 'Sniper', 'Moody']"
224,Octillery,Okutankオクタン,Jet Pokémon,water,,0.9,28.5,50,75,45,105,105,75,75,2,0,5120,1000000,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,480,"['Suction Cups', 'Sniper', 'Moody']"
225,Delibird,Delibirdデリバード,Delivery Pokémon,ice,flying,0.9,16,50,45,75,55,65,45,45,2,0,5120,800000,45,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,70,330,"['Vital Spirit', 'Hustle', 'Insomnia']"
226,Mantine,Mantainマンタイン,Kite Pokémon,water,flying,2.1,220,50,85,70,40,80,70,140,2,0,6400,1250000,25,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,70,485,"['Swift Swim', 'Water Absorb', 'Water Veil']"
227,Skarmory,Airmdエアームド,Armor Bird Pokémon,steel,flying,1.7,50.5,50,65,70,80,40,140,70,2,0,6400,1250000,25,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,70,465,"['Keen Eye', 'Sturdy', 'Weak Armor']"
228,Houndour,Delvilデルビル,Dark Pokémon,dark,fire,0.6,10.8,50,45,65,60,80,30,50,2,0,5120,1250000,120,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,35,330,"['Early Bird', 'Flash Fire', 'Unnerve']"
229,Houndoom,Hellgarヘルガー,Dark Pokémon,dark,fire,1.4,35,50,75,115,90,140,90,90,2,0,5120,1250000,45,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,35,600,"['Early Bird', 'Flash Fire', 'Unnerve']"
230,Kingdra,Kingdraキングドラ,Dragon Pokémon,water,dragon,1.8,152,50,75,85,95,95,95,95,2,0,5120,1000000,45,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,70,540,"['Swift Swim', 'Sniper', 'Damp']"
231,Phanpy,Gomazouゴマゾウ,Long Nose Pokémon,ground,,0.5,33.5,50,90,40,60,40,60,40,2,0,5120,1000000,120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,330,"['Pickup', 'Sand Veil']"
232,Donphan,Donfanドンファン,Armor Pokémon,ground,,1.1,120,50,90,50,120,60,120,60,2,0,5120,1000000,60,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,500,"['Sturdy', 'Sand Veil']"
233,Porygon2,Porygon2ポリゴン２,Virtual Pokémon,normal,,0.6,32.5,,85,60,80,105,90,95,2,0,5120,1000000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,515,"['Trace', 'Download', 'Analytic']"
234,Stantler,Odoshishiオドシシ,Big Horn Pokémon,normal,,1.4,71.2,50,73,85,95,85,62,65,2,0,5120,1250000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,465,"['Intimidate', 'Frisk', 'Sap Sipper']"
235,Smeargle,Dobleドーブル,Painter Pokémon,normal,,1.2,58,50,55,75,20,20,35,45,2,0,5120,800000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,250,"['Own Tempo', 'Technician', 'Moody']"
236,Tyrogue,Balkieバルキー,Scuffle Pokémon,fighting,,0.7,21,100,35,35,35,35,35,35,2,0,6400,1000000,75,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,210,"['Guts', 'Steadfast', 'Vital Spirit']"
237,Hitmontop,Kapoererカポエラー,Handstand Pokémon,fighting,,1.4,48,100,50,70,95,35,95,110,2,0,6400,1000000,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,455,"['Intimidate', 'Technician', 'Steadfast']"
238,Smoochum,Muchulムチュール,Kiss Pokémon,ice,psychic,0.4,6,0,45,65,30,85,15,65,2,0,6400,1000000,45,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,70,305,"['Oblivious', 'Forewarn', 'Hydration']"
239,Elekid,Elekidエレキッド,Electric Pokémon,electric,,0.6,23.5,75.4,45,95,63,65,37,55,2,0,6400,1000000,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,360,"['Static', 'Vital Spirit']"
240,Magby,Bubyブビィ,Live Coal Pokémon,fire,,0.7,21.4,75.4,45,83,75,70,37,55,2,0,6400,1000000,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,365,"['Flame Body', 'Vital Spirit']"
241,Miltank,Miltankミルタンク,Milk Cow Pokémon,normal,,1.2,75.5,0,95,100,80,40,105,70,2,0,5120,1250000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,490,"['Thick Fat', 'Scrappy', 'Sap Sipper']"
242,Blissey,Happinasハピナス,Happiness Pokémon,normal,,1.5,46.8,0,255,55,10,75,10,135,2,0,10240,800000,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,140,540,"['Natural Cure', 'Serene Grace', 'Healer']"
243,Raikou,Raikouライコウ,Thunder Pokémon,electric,,1.9,178,,90,115,85,115,75,100,2,1,20480,1250000,3,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,35,580,"['Pressure', 'Inner Focus']"
244,Entei,Enteiエンテイ,Volcano Pokémon,fire,,2.1,198,,115,100,115,90,85,75,2,1,20480,1250000,3,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,35,580,"['Pressure', 'Inner Focus']"
245,Suicune,Suicuneスイクン,Aurora Pokémon,water,,2,187,,100,85,75,90,115,115,2,1,20480,1250000,3,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,35,580,"['Pressure', 'Inner Focus']"
246,Larvitar,Yogirasヨーギラス,Rock Skin Pokémon,rock,ground,0.6,72,50,50,41,64,45,50,50,2,0,10240,1250000,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,35,300,"['Guts', 'Sand Veil']"
247,Pupitar,Sanagirasサナギラス,Hard Shell Pokémon,rock,ground,1.2,152,50,70,51,84,65,70,70,2,0,10240,1250000,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,35,410,['Shed Skin']
248,Tyranitar,Bangirasバンギラス,Armor Pokémon,rock,dark,2,202,50,100,71,164,95,150,120,2,0,10240,1250000,45,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,35,700,"['Sand Stream', 'Unnerve']"
249,Lugia,Lugiaルギア,Diving Pokémon,psychic,flying,5.2,216,,106,110,90,90,130,154,2,1,30720,1250000,3,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,0,680,"['Pressure', 'Multiscale']"
250,Ho-Oh,Hououホウオウ,Rainbow Pokémon,fire,flying,3.8,199,,106,90,130,110,90,154,2,1,30720,1250000,3,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,0,680,"['Pressure', 'Regenerator']"
251,Celebi,Celebiセレビィ,Time Travel Pokémon,psychic,grass,0.6,5,,100,100,100,100,100,100,2,1,30720,1059860,45,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,600,['Natural Cure']
252,Treecko,Kimoriキモリ,Wood Gecko Pokémon,grass,,0.5,5,88.1,40,70,45,65,35,55,3,0,5120,1059860,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,310,"['Overgrow', 'Unburden']"
253,Grovyle,Juptileジュプトル,Wood Gecko Pokémon,grass,,0.9,21.6,88.1,50,95,65,85,45,65,3,0,5120,1059860,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,405,"['Overgrow', 'Unburden']"
254,Sceptile,Jukainジュカイン,Forest Pokémon,grass,,1.7,52.2,88.1,70,145,110,145,75,85,3,0,5120,1059860,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,630,"['Overgrow', 'Unburden']"
255,Torchic,Achamoアチャモ,Chick Pokémon,fire,,0.4,2.5,88.1,45,45,60,70,40,50,3,0,5120,1059860,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,310,"['Blaze', 'Speed Boost']"
256,Combusken,Wakasyamoワカシャモ,Young Fowl Pokémon,fire,fighting,0.9,19.5,88.1,60,55,85,85,60,60,3,0,5120,1059860,45,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,70,405,"['Blaze', 'Speed Boost']"
257,Blaziken,Bursyamoバシャーモ,Blaze Pokémon,fire,fighting,1.9,52,88.1,80,100,160,130,80,80,3,0,5120,1059860,45,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,70,630,"['Blaze', 'Speed Boost']"
258,Mudkip,Mizugorouミズゴロウ,Mud Fish Pokémon,water,,0.4,7.6,88.1,50,40,70,50,50,50,3,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,310,"['Torrent', 'Damp']"
259,Marshtomp,Numacrawヌマクロー,Mud Fish Pokémon,water,ground,0.7,28,88.1,70,50,85,60,70,70,3,0,5120,1059860,45,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,70,405,"['Torrent', 'Damp']"
260,Swampert,Laglargeラグラージ,Mud Fish Pokémon,water,ground,1.5,81.9,88.1,100,70,150,95,110,110,3,0,5120,1059860,45,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,70,635,"['Torrent', 'Damp']"
261,Poochyena,Pochienaポチエナ,Bite Pokémon,dark,,0.5,13.6,50,35,35,55,30,35,30,3,0,3840,1000000,255,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,70,220,"['Run Away', 'Quick Feet', 'Rattled']"
262,Mightyena,Graenaグラエナ,Bite Pokémon,dark,,1,37,50,70,70,90,60,70,60,3,0,3840,1000000,127,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,70,420,"['Intimidate', 'Quick Feet', 'Moxie']"
263,Zigzagoon,Jiguzagumaジグザグマ,Tiny Racoon Pokémon,normal,,0.4,17.5,50,38,60,30,30,41,41,3,0,3840,1000000,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,240,"['Pickup', 'Gluttony', 'Quick Feet']"
264,Linoone,Massugumaマッスグマ,Rush Pokémon,normal,,0.5,32.5,50,78,100,70,50,61,61,3,0,3840,1000000,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,420,"['Pickup', 'Gluttony', 'Quick Feet']"
265,Wurmple,Kemussoケムッソ,Worm Pokémon,bug,,0.3,3.6,50,45,20,45,20,35,30,3,0,3840,1000000,255,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,195,"['Shield Dust', 'Run Away']"
266,Silcoon,Karasalisカラサリス,Cocoon Pokémon,bug,,0.6,10,50,50,15,35,25,55,25,3,0,3840,1000000,120,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,205,['Shed Skin']
267,Beautifly,Agehuntアゲハント,Butterfly Pokémon,bug,flying,1,28.4,50,60,65,70,100,50,50,3,0,3840,1000000,45,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,395,"['Swarm', 'Rivalry']"
268,Cascoon,Mayuldマユルド,Cocoon Pokémon,bug,,0.7,11.5,50,50,15,35,25,55,25,3,0,3840,1000000,120,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,205,['Shed Skin']
269,Dustox,Dokucaleドクケイル,Poison Moth Pokémon,bug,poison,1.2,31.6,50,60,65,50,50,70,90,3,0,3840,1000000,45,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,385,"['Shield Dust', 'Compoundeyes']"
270,Lotad,Hassbohハスボー,Water Weed Pokémon,water,grass,0.5,2.6,50,40,30,30,40,30,50,3,0,3840,1059860,255,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,70,220,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
271,Lombre,Hasubreroハスブレロ,Jolly Pokémon,water,grass,1.2,32.5,50,60,50,50,60,50,70,3,0,3840,1059860,120,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,70,340,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
272,Ludicolo,Runpappaルンパッパ,Carefree Pokémon,water,grass,1.5,55,50,80,70,70,90,70,100,3,0,3840,1059860,45,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,70,480,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
273,Seedot,Tanebohタネボー,Acorn Pokémon,grass,,0.5,4,50,40,30,40,30,50,30,3,0,3840,1059860,255,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,220,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
274,Nuzleaf,Konohanaコノハナ,Wily Pokémon,grass,dark,1,28,50,70,60,70,60,40,40,3,0,3840,1059860,120,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,340,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
275,Shiftry,Dirtengダーテング,Wickid Pokémon,grass,dark,1.3,59.6,50,90,80,100,90,60,60,3,0,3840,1059860,45,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,480,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
276,Taillow,Subameスバメ,TinySwallow Pokémon,normal,flying,0.3,2.3,50,40,85,55,30,30,30,3,0,3840,1059860,200,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,270,"['Guts', 'Scrappy']"
277,Swellow,Ohsubameオオスバメ,Swallow Pokémon,normal,flying,0.7,19.8,50,60,125,85,75,60,50,3,0,3840,1059860,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,455,"['Guts', 'Scrappy']"
278,Wingull,Camomeキャモメ,Seagull Pokémon,water,flying,0.6,9.5,50,40,85,30,55,30,30,3,0,5120,1000000,190,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,70,270,"['Keen Eye', 'Hydration', 'Rain Dish']"
279,Pelipper,Pelipperペリッパー,Water Bird Pokémon,water,flying,1.2,28,50,60,65,50,95,100,70,3,0,5120,1000000,45,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,70,440,"['Keen Eye', 'Drizzle', 'Rain Dish']"
280,Ralts,Raltsラルトス,Feeling Pokémon,psychic,fairy,0.4,6.6,50,28,40,25,45,25,35,3,0,5120,1250000,235,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,35,198,"['Synchronize', 'Trace', 'Telepathy']"
281,Kirlia,Kirliaキルリア,Emotion Pokémon,psychic,fairy,0.8,20.2,50,38,50,35,65,35,55,3,0,5120,1250000,120,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,35,278,"['Synchronize', 'Trace', 'Telepathy']"
282,Gardevoir,Sirnightサーナイト,Embrace Pokémon,psychic,fairy,1.6,48.4,50,68,100,85,165,65,135,3,0,5120,1250000,45,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,35,618,"['Synchronize', 'Trace', 'Telepathy']"
283,Surskit,Ametamaアメタマ,Pond Skater Pokémon,bug,water,0.5,1.7,50,40,65,30,50,32,52,3,0,3840,1000000,200,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,70,269,"['Swift Swim', 'Rain Dish']"
284,Masquerain,Amemothアメモース,Eyeball Pokémon,bug,flying,0.8,3.6,50,70,80,60,100,62,82,3,0,3840,1000000,75,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,454,"['Intimidate', 'Unnerve']"
285,Shroomish,Kinococoキノココ,Mushroom Pokémon,grass,,0.4,4.5,50,60,35,40,40,60,60,3,0,3840,1640000,255,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,295,"['Effect Spore', 'Poison Heal', 'Quick Feet']"
286,Breloom,Kinogassaキノガッサ,Mushroom Pokémon,grass,fighting,1.2,39.2,50,60,70,130,60,80,60,3,0,3840,1640000,90,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,70,460,"['Effect Spore', 'Poison Heal', 'Technician']"
287,Slakoth,Namakeroナマケロ,Slacker Pokémon,normal,,0.8,24,50,60,30,60,35,60,35,3,0,3840,1250000,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,280,['Truant']
288,Vigoroth,Yarukimonoヤルキモノ,Wild Monkey Pokémon,normal,,1.4,46.5,50,80,90,80,55,80,55,3,0,3840,1250000,120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,440,['Vital Spirit']
289,Slaking,Kekkingケッキング,Lazy Pokémon,normal,,2,130.5,50,150,100,160,95,100,65,3,0,3840,1250000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,670,['Truant']
290,Nincada,Tutininツチニン,Trainee Pokémon,bug,ground,0.5,5.5,50,31,40,45,30,90,30,3,0,3840,600000,255,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,70,266,"['Compoundeyes', 'Run Away']"
291,Ninjask,Tekkaninテッカニン,Ninja Pokémon,bug,flying,0.8,12,50,61,160,90,50,45,50,3,0,3840,600000,120,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,456,"['Speed Boost', 'Infiltrator']"
292,Shedinja,Nukeninヌケニン,Shed Pokémon,bug,ghost,0.8,1.2,,1,40,90,30,45,30,3,0,3840,600000,45,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,70,236,['Wonder Guard']
293,Whismur,Gonyonyoゴニョニョ,Whisper Pokémon,normal,,0.6,16.3,50,64,28,51,51,23,23,3,0,5120,1059860,190,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,240,"['Soundproof', 'Rattled']"
294,Loudred,Dogohmbドゴーム,Big Voice Pokémon,normal,,1,40.5,50,84,48,71,71,43,43,3,0,5120,1059860,120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,360,"['Soundproof', 'Scrappy']"
295,Exploud,Bakuongバクオング,Loud Noise Pokémon,normal,,1.5,84,50,104,68,91,91,63,73,3,0,5120,1059860,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,490,"['Soundproof', 'Scrappy']"
296,Makuhita,Makunoshitaマクノシタ,Guts Pokémon,fighting,,1,86.4,75.4,72,25,60,20,30,30,3,0,5120,1640000,180,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,237,"['Thick Fat', 'Guts', 'Sheer Force']"
